cdm_name,omop_table,in_observation,variable_name,variable_level,time_interval,count,percentage,median,interval,name_observation_period,study_period_end,study_period_start,type
Barts Health,visit_occurrence,TRUE,Number of records,NA,2015-01-01 to 2015-12-31,2418975,6.18,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_occurrence,overall,Number of records,NA,2015-01-01 to 2015-12-31,1253885,4.24,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_occurrence,FALSE,Number of records,NA,2015-01-01 to 2015-12-31,1156,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_occurrence,TRUE,Number of records,NA,2015-01-01 to 2015-12-31,1252729,4.24,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,drug_exposure,overall,Number of records,NA,2015-01-01 to 2015-12-31,13090,0.03,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,drug_exposure,TRUE,Number of records,NA,2015-01-01 to 2015-12-31,13090,0.03,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,procedure_occurrence,overall,Number of records,NA,2015-01-01 to 2015-12-31,550377,5.85,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,procedure_occurrence,FALSE,Number of records,NA,2015-01-01 to 2015-12-31,9993,0.11,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,procedure_occurrence,TRUE,Number of records,NA,2015-01-01 to 2015-12-31,540384,5.74,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,device_exposure,overall,Number of records,NA,2015-01-01 to 2015-12-31,11588,0.63,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,device_exposure,FALSE,Number of records,NA,2015-01-01 to 2015-12-31,NA,NA,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,device_exposure,TRUE,Number of records,NA,2015-01-01 to 2015-12-31,11587,0.63,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,measurement,overall,Number of records,NA,2015-01-01 to 2015-12-31,28936935,3.48,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,measurement,FALSE,Number of records,NA,2015-01-01 to 2015-12-31,20384,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,measurement,TRUE,Number of records,NA,2015-01-01 to 2015-12-31,28916551,3.48,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,observation,overall,Number of records,NA,2015-01-01 to 2015-12-31,1273435,2.07,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,observation,FALSE,Number of records,NA,2015-01-01 to 2015-12-31,158974,0.26,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,observation,TRUE,Number of records,NA,2015-01-01 to 2015-12-31,1114461,1.81,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,death,overall,Number of records,NA,2015-01-01 to 2015-12-31,9152,6.47,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,death,FALSE,Number of records,NA,2015-01-01 to 2015-12-31,206,0.15,NA,years,NA,2026-02-16,2012-01-01,event
